date,year,month,cases,mean_rain,max_rain,year_from_last_epidemic
2009-01-01,2009,1,2614,0.654299407950381,176.2,2
2009-02-01,2009,2,2057,0.252917316692668,46.4,2
2009-03-01,2009,3,2324,2.87855089131685,132.0,2
2009-04-01,2009,4,2947,4.51726084373143,216.8,2
2009-05-01,2009,5,6234,7.47589907192575,178.7,2
2009-06-01,2009,6,8569,5.27822021116139,157.1,2
2009-07-01,2009,7,7184,7.24663986214819,263.6,2
2009-08-01,2009,8,7302,6.87486227892143,164.9,2
2009-09-01,2009,9,5016,8.77842505854801,338.9,2
2009-10-01,2009,10,4640,5.45566224230443,141.4,2
2009-11-01,2009,11,4723,2.97489337503554,255.3,2
2009-12-01,2009,12,3040,0.678375411635565,139.9,2
2010-01-01,2010,1,3626,1.41421038023869,88.5,0
2010-02-01,2010,2,3710,0.475626145387905,91.8,0
2010-03-01,2010,3,4550,0.893637621023513,98.0,0
2010-04-01,2010,4,4291,1.91290322580645,123.1,0
2010-05-01,2010,5,7616,4.05936525928025,98.5,0
2010-06-01,2010,6,13876,6.2570800351803,139.6,0
2010-07-01,2010,7,21455,7.21259618124822,139.6,0
2010-08-01,2010,8,23462,10.5204352741662,166.8,0
2010-09-01,2010,9,16492,8.0470776388485,180.5,0
2010-10-01,2010,10,8897,8.10754135127558,208.0,0
2010-11-01,2010,11,5723,4.11376146788991,358.0,0
2010-12-01,2010,12,3249,2.69264057331863,169.7,0
2011-01-01,2011,1,2889,1.331394707828,188.0,1
2011-02-01,2011,2,2256,0.769268441995715,85.0,1
2011-03-01,2011,3,2403,6.29133880554769,414.7,1
2011-04-01,2011,4,3255,3.67446870451237,109.2,1
2011-05-01,2011,5,8058,6.95477401129944,191.2,1
2011-06-01,2011,6,12284,6.99337295690936,216.0,1
2011-07-01,2011,7,12082,7.97637393767705,405.9,1
2011-08-01,2011,8,9784,9.64828173814257,211.9,1
2011-09-01,2011,9,6244,10.717464953271,221.2,1
2011-10-01,2011,10,4115,6.78576252110298,183.9,1
2011-11-01,2011,11,4143,2.4303504199247,240.0,1
2011-12-01,2011,12,2287,2.02356828193833,279.1,1
2012-01-01,2012,1,1964,2.99748462828396,405.0,2
2012-02-01,2012,2,2019,0.794658056941591,98.0,2
2012-03-01,2012,3,2379,1.74132049518569,100.2,2
2012-04-01,2012,4,3105,3.4512399077278,145.0,2
2012-05-01,2012,5,4924,7.07962705260228,182.3,2
2012-06-01,2012,6,8359,5.01872626351154,203.1,2
2012-07-01,2012,7,10162,6.5548049745619,242.4,2
2012-08-01,2012,8,9708,6.77761279268989,187.8,2
2012-09-01,2012,9,8934,10.1655401502022,208.0,2
2012-10-01,2012,10,9697,3.91702948470653,92.1,2
2012-11-01,2012,11,10576,3.7900947459087,268.3,2
2012-12-01,2012,12,7766,2.07947325549824,229.8,2
2013-01-01,2013,1,8172,1.26839266450917,111.3,0
2013-02-01,2013,2,6099,1.08413075780089,115.6,0
2013-03-01,2013,3,7707,0.988792870645423,89.4,0
2013-04-01,2013,4,9000,2.95480225988701,218.4,0
2013-05-01,2013,5,15656,5.08120528343423,195.0,0
2013-06-01,2013,6,28377,6.98575114678899,188.8,0
2013-07-01,2013,7,31132,8.77766046123923,394.9,0
2013-08-01,2013,8,22253,7.06084033613445,149.9,0
2013-09-01,2013,9,11844,10.506492387245,279.5,0
2013-10-01,2013,10,6838,13.926973310619,153.4,0
2013-11-01,2013,11,5002,14.2371428571429,257.1,0
2013-12-01,2013,12,2360,9.03415007656968,290.5,0
2014-01-01,2014,1,1748,0.996697038724374,121.3,1
2014-02-01,2014,2,1528,0.455958549222798,54.0,1
2014-03-01,2014,3,1672,1.81892247043364,99.5,1
2014-04-01,2014,4,1382,5.24047619047619,94.0,1
2014-05-01,2014,5,2474,7.85936555891239,115.3,1
2014-06-01,2014,6,4357,10.0968680089485,156.8,1
2014-07-01,2014,7,5911,11.0372673434856,198.0,1
2014-08-01,2014,8,5751,11.5382730923695,161.6,1
2014-09-01,2014,9,4845,11.7316120341266,186.2,1
2014-10-01,2014,10,4325,10.3330293819656,172.1,1
2014-11-01,2014,11,4229,9.61872213967311,161.0,1
2014-12-01,2014,12,2859,9.11386514719848,203.3,1
2015-01-01,2015,1,2639,3.63883870967742,69.1,0
2015-02-01,2015,2,2183,3.01227336122734,87.0,0
2015-03-01,2015,3,2716,5.26877682403433,111.6,0
2015-04-01,2015,4,3431,7.31474464579901,104.4,0
2015-05-01,2015,5,8065,7.52039312039312,144.2,0
2015-06-01,2015,6,12913,9.66792134831461,197.1,0
2015-07-01,2015,7,17735,10.1605809128631,166.8,0
2015-08-01,2015,8,21852,11.2232735426009,187.3,0
2015-09-01,2015,9,21180,13.476761487965,162.5,0
2015-10-01,2015,10,18058,10.1789090909091,159.5,0
2015-11-01,2015,11,23472,8.26524678837052,120.0,0
2015-12-01,2015,12,10706,5.20986547085202,171.4,0
2016-01-01,2016,1,7068,5.73523459061638,132.0,1
2016-02-01,2016,2,4060,1.93955119214586,55.5,1
2016-03-01,2016,3,3712,1.76759002770083,138.2,1
2016-04-01,2016,4,2152,4.90723453908985,87.0,1
2016-05-01,2016,5,1981,10.422479338843,190.4,1
2016-06-01,2016,6,3741,12.354763986014,177.3,1
2016-07-01,2016,7,7491,11.1854813046937,209.9,1
2016-08-01,2016,8,10258,10.6124190938511,174.9,1
2016-09-01,2016,9,7994,12.8529622266402,229.5,1
2016-10-01,2016,10,6336,11.5309230114845,168.2,1
2016-11-01,2016,11,5253,7.25582620144832,177.8,1
2016-12-01,2016,12,3884,11.3598792062123,302.4,1
2017-01-01,2017,1,3412,12.9547700754976,615.6,2
2017-02-01,2017,2,2465,2.11878787878788,73.8,2
2017-03-01,2017,3,2152,7.24392156862745,114.1,2
2017-04-01,2017,4,2133,7.36636245110821,187.5,2
2017-05-01,2017,5,3739,14.1009508061182,248.9,2
2017-06-01,2017,6,7233,10.0056045895852,137.4,2
2017-07-01,2017,7,8539,12.2290405904059,193.0,2
2017-08-01,2017,8,7678,11.9061369000787,132.5,2
2017-09-01,2017,9,5127,11.3930127414714,192.6,2
2017-10-01,2017,10,4154,11.2423023578363,190.3,2
2017-11-01,2017,11,4100,7.48146588037068,264.9,2
2017-12-01,2017,12,2457,6.49723756906077,250.3,2
2018-01-01,2018,1,2240,6.02785016286645,174.8,3
2018-02-01,2018,2,1991,4.01517027863777,102.2,3
2018-03-01,2018,3,2599,5.0624895572264,99.6,3
2018-04-01,2018,4,3100,9.7501756440281,123.2,3
2018-05-01,2018,5,7293,10.0067180145486,125.3,3
2018-06-01,2018,6,13635,9.35313174946004,209.8,3
2018-07-01,2018,7,14114,10.4209409949865,272.4,3
2018-08-01,2018,8,12408,9.05508170585891,158.3,3
2018-09-01,2018,9,9042,11.1853785900783,226.5,3
2018-10-01,2018,10,7527,10.1901881037112,129.5,3
2018-11-01,2018,11,7246,7.12689804772234,261.6,3
2018-12-01,2018,12,5725,7.67051094890511,211.5,3
